LONGITUDE LATITUDE PRCP
-82.0429 33.5617 1.19
-82.0035 33.5478 1.27
-81.9642 33.5339 1.37
-81.9249 33.5199 1.45
-81.8856 33.5059 1.46
-81.8463 33.4919 1.49
-81.807 33.4779 1.6
-81.7678 33.4639 1.9
-81.7286 33.4498 2.18
-81.6894 33.4358 2.21
-81.6502 33.4217 2.57
-81.6111 33.4075 2.46
-81.572 33.3934 2.73
-81.5329 33.3792 2.44
-81.4938 33.3651 2.34
-81.4547 33.3509 2.45
-81.4157 33.3367 2.43
-81.3767 33.3224 2.53
-81.3377 33.3082 2.31
-81.2988 33.2939 2.53
-81.2598 33.2796 2.71
-81.2209 33.2653 2.67
-81.182 33.2509 2.74
-81.1432 33.2366 2.95
-81.1043 33.2222 3.12
-81.0655 33.2078 2.87
-81.0267 33.1933 2.77
-80.988 33.1789 2.83
-80.9492 33.1644 3.24
-80.9105 33.15 3.49
-80.8718 33.1355 3.53
-80.8331 33.1209 3.61
-80.7945 33.1064 2.97
-80.7558 33.0918 3.08
-80.7172 33.0773 3.22
-80.6787 33.0627 3.4
-80.6401 33.048 3.87
-80.6016 33.0334 4.08
-80.563 33.0187 4.24
-80.5246 33.0041 4.46
-80.4861 32.9894 4.67
-80.4476 32.9746 4.62
-80.4092 32.9599 5.19
-80.3708 32.9452 5.88
-80.3325 32.9304 6.57
-80.2941 32.9156 7.56
-80.2558 32.9008 8.13
-80.2175 32.8859 7.53
-80.1792 32.8711 7.86
-80.141 32.8562 8.12
-80.1027 32.8413 8.19
-80.0645 32.8264 9.39
-80.0264 32.8115 8.95
-79.9882 32.7965 9.15
-79.9501 32.7815 8.8
-82.184 33.65 1.6
-82.1445 33.6362 1.57
-82.1051 33.6223 1.47
-82.0656 33.6084 1.48
-82.0262 33.5945 1.49
-81.9868 33.5806 1.43
-81.9474 33.5667 1.48
-81.9081 33.5527 1.5
-81.8688 33.5387 1.62
-81.8295 33.5247 1.67
-81.7902 33.5107 1.54
-81.7509 33.4966 1.72
-81.7117 33.4825 1.96
-81.6725 33.4685 2.33
-81.6333 33.4543 2.46
-81.5941 33.4402 2.56
-81.555 33.4261 2.67
-81.5159 33.4119 2.56
-81.4768 33.3977 2.32
-81.4377 33.3835 2.26
-81.3987 33.3693 2.06
-81.3596 33.355 2.1
-81.3206 33.3407 2.16
-81.2817 33.3264 2.19
-81.2427 33.3121 2.34
-81.2038 33.2978 2.59
-81.1649 33.2834 2.82
-81.126 33.269 3.12
-81.0871 33.2547 3.15
-81.0483 33.2402 3.06
-81.0095 33.2258 3.06
-80.9707 33.2113 3.18
-80.9319 33.1969 2.98
-80.8932 33.1824 2.97
-80.8545 33.1679 3.22
-80.8158 33.1533 3.52
-80.7771 33.1388 3.24
-80.7384 33.1242 3.42
-80.6998 33.1096 3.44
-80.6612 33.095 3.7
-80.6226 33.0804 4.04
-80.5841 33.0657 4.2
-80.5455 33.051 4.21
-80.507 33.0363 4.54
-80.4685 33.0216 4.8
-80.4301 33.0069 4.97
-80.3916 32.9921 5.39
-80.3532 32.9774 6.2
-80.3148 32.9626 6.96
-80.2765 32.9478 7.4
-80.2381 32.9329 7.89
-80.1998 32.9181 8.05
-80.1615 32.9032 8.33
-80.1232 32.8883 8.3
-80.085 32.8734 8.27
-80.0468 32.8585 9.66
-80.0086 32.8435 9.51
-79.9704 32.8286 9.22
-79.9322 32.8136 8.78
-79.8941 32.7986 8.49
-79.856 32.7836 8.49
-79.8179 32.7685 8.52
-82.2069 33.6967 1.82
-82.1674 33.6829 1.84
-82.1279 33.6691 1.84
-82.0884 33.6552 1.84
-82.0489 33.6413 1.75
-82.0095 33.6274 1.75
-81.9701 33.6134 1.81
-81.9307 33.5995 1.82
-81.8913 33.5855 1.92
-81.852 33.5715 2.06
-81.8126 33.5575 2.01
-81.7733 33.5434 1.91
-81.7341 33.5293 1.98
-81.6948 33.5153 2.12
-81.6556 33.5012 1.98
-81.6164 33.487 2.0
-81.5772 33.4729 2.01
-81.538 33.4587 2.2
-81.4989 33.4445 2.45
-81.4598 33.4303 2.31
-81.4207 33.4161 2.2
-81.3816 33.4019 2.05
-81.3426 33.3876 2.19
-81.3035 33.3733 2.23
-81.2645 33.359 2.2
-81.2256 33.3447 2.42
-81.1866 33.3303 2.56
-81.1477 33.3159 2.93
-81.1088 33.3016 3.06
-81.0699 33.2871 3.24
-81.031 33.2727 3.4
-80.9922 33.2583 3.55
-80.9534 33.2438 3.4
-80.9146 33.2293 3.41
-80.8758 33.2148 3.31
-80.8371 33.2003 3.42
-80.7984 33.1857 3.35
-80.7597 33.1711 3.56
-80.721 33.1566 3.84
-80.6824 33.142 3.96
-80.6437 33.1273 4.06
-80.6051 33.1127 4.49
-80.5666 33.098 4.45
-80.528 33.0833 4.82
-80.4895 33.0686 4.88
-80.451 33.0539 5.0
-80.4125 33.0391 5.45
-80.374 33.0244 6.19
-80.3356 33.0096 6.67
